OneWayVehicleModel.OneWayVehicle.1 	 starts 	 OneWayVehicleModel.OneWayVehicle.1 	 at time 0.0.
OneWayVehicleModel.OneWayVehicle.1 	 establish x = 100.0, y = 290.0 	 VSource.entry.2 	 at time 0.0.
OneWayVehicleModel.OneWayVehicle.1 	 establish x = 600.0, y = 290.0 	 Sink.exit.3 	 at time 0.0.
OneWayVehicleModel.OneWayVehicle.1 	 establish x = 110.0, y = 300.0 	 VTransport.lane.4 	 at time 0.0.
OneWayVehicleModel.OneWayVehicle.1 	 starts model for 1 replications 	 at time 0.0.
OneWayVehicleModel.OneWayVehicle.1 	 starts rep 1 	 at time 0.0.
OneWayVehicleModel.OneWayVehicle.1 	 resumes 	 VSource.entry.2 	 at time 0.0.
VSource.entry.2 	 generates 	 Car.c.5 	 at time 0.0.
VSource.entry.2 	 resumes 	 OneWayVehicleModel.OneWayVehicle.1 	 at time 0.0.
OneWayVehicleModel.OneWayVehicle.1 	 resumes 	 Car.c.5 	 at time 0.0.
VTransport.lane.4 	 moves for 1.0 	 Car.c.5 	 at time 0.0.
Car.c.5 	 resumes 	 OneWayVehicleModel.OneWayVehicle.1 	 at time 0.0.
OneWayVehicleModel.OneWayVehicle.1 	 resumes 	 Car.c.5 	 at time 1.0.
VTransport.lane.4 	 moves for 1.0 	 Car.c.5 	 at time 1.0.
Car.c.5 	 resumes 	 OneWayVehicleModel.OneWayVehicle.1 	 at time 1.0.
OneWayVehicleModel.OneWayVehicle.1 	 resumes 	 Car.c.5 	 at time 2.0.
VTransport.lane.4 	 moves for 1.0 	 Car.c.5 	 at time 2.0.
Car.c.5 	 resumes 	 OneWayVehicleModel.OneWayVehicle.1 	 at time 2.0.
OneWayVehicleModel.OneWayVehicle.1 	 resumes 	 Car.c.5 	 at time 3.0.
VTransport.lane.4 	 moves for 1.0 	 Car.c.5 	 at time 3.0.
Car.c.5 	 resumes 	 OneWayVehicleModel.OneWayVehicle.1 	 at time 3.0.
OneWayVehicleModel.OneWayVehicle.1 	 resumes 	 Car.c.5 	 at time 4.0.
VTransport.lane.4 	 moves for 1.0 	 Car.c.5 	 at time 4.0.
Car.c.5 	 resumes 	 OneWayVehicleModel.OneWayVehicle.1 	 at time 4.0.
OneWayVehicleModel.OneWayVehicle.1 	 resumes 	 Car.c.5 	 at time 5.0.
VTransport.lane.4 	 moves for 1.0 	 Car.c.5 	 at time 5.0.
Car.c.5 	 resumes 	 OneWayVehicleModel.OneWayVehicle.1 	 at time 5.0.
